Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
29-JUL-2019,2686.85,2689.15,2603.3,2611.9,87105689,1477.26
26-JUL-2019,2694.95,2708.4,2662.35,2692.45,100451734,1521.14
25-JUL-2019,2718,2736.25,2678.05,2686.4,105150125,1729.59
24-JUL-2019,2780.4,2786.1,2691.45,2712.95,95406532,1464.89
23-JUL-2019,2792.25,2796.95,2765.9,2778.75,61577981,1001.2
22-JUL-2019,2743.65,2795.7,2734.85,2788.1,85850050,1375.42
19-JUL-2019,2795.4,2807.9,2734,2741.85,87063590,1480.45
18-JUL-2019,2837.85,2840.4,2772,2778.6,68926959,1068.36
17-JUL-2019,2842.5,2859.4,2827.9,2848.8,58210307,948.89
16-JUL-2019,2814.2,2851.7,2810.55,2847.35,65890342,1086.93
15-JUL-2019,2831,2833.5,2783,2823,67395775,1104.35
12-JUL-2019,2811,2859.55,2785.4,2826.3,95026826,1703.46
11-JUL-2019,2792.15,2812.25,2765.7,2805.25,99484054,1578.68
10-JUL-2019,2791.7,2812.45,2736.6,2756.45,97290500,1602.48
09-JUL-2019,2791.65,2811.55,2770.75,2788.05,71971971,1157.39
08-JUL-2019,2831.55,2854.25,2782.1,2791.2,89644191,1255.13
05-JUL-2019,2966.75,2971.05,2843.9,2851.25,88238012,1313.86
04-JUL-2019,2983.55,2991.5,2957.35,2962.5,61655453,1046.86
03-JUL-2019,2991.1,3007.55,2968.15,2992.15,82613321,1287.38
02-JUL-2019,2978.35,2998.85,2958.4,2993.35,64410279,1054.67
01-JUL-2019,3002.6,3022.45,2959.5,2977.95,85634331,1473.23
28-JUN-2019,3014.7,3024.55,2960.35,2980.2,79692527,1311.98
27-JUN-2019,3027.5,3044.5,3004.65,3014.2,109220854,2107.16
26-JUN-2019,2927.25,3028.9,2924.15,3022.95,101079711,1815.04
25-JUN-2019,2862.55,2946.6,2854.9,2942.65,90176604,1735.07
24-JUN-2019,2932.85,2949.6,2887.05,2892.45,79123328,1305.37
21-JUN-2019,2932.7,2952.6,2919.65,2930.2,102037213,1768.18
20-JUN-2019,2884.1,2944.1,2870.35,2940.1,89601872,1392.61
19-JUN-2019,2906.85,2935.4,2856.8,2886.3,123650583,2246.75
18-JUN-2019,2861.9,2892.05,2838.3,2874.9,81423991,1451.69
17-JUN-2019,2940.9,2941.35,2855.35,2860.5,81137278,1492.19
14-JUN-2019,2946.15,2975.55,2926.25,2944.9,58594521,1002.62
13-JUN-2019,2956.6,2960.65,2914.8,2955.95,89607153,1288.88
12-JUN-2019,2950.85,2997.2,2942.75,2962.1,91882222,1727.05
11-JUN-2019,2926.35,2955.95,2906.7,2950.65,67851791,1129.12
10-JUN-2019,2935.35,2954.1,2890.6,2912.25,57918434,1007.56
07-JUN-2019,2921.25,2952.15,2892.7,2906.95,69140744,1128.04
06-JUN-2019,2959.45,2966.9,2911.8,2923.05,77101810,1363.46
04-JUN-2019,2942.1,2973.6,2937.85,2956.4,69661230,1123.47
03-JUN-2019,2905,2956.8,2886.3,2951.25,77402301,1336.98
31-MAY-2019,2953.55,2965.65,2875.1,2900.4,130520838,2157.5
30-MAY-2019,2939.1,2946.65,2914.3,2924.5,89231022,1595.76
29-MAY-2019,2985.1,2986.85,2927.85,2937.3,88244602,1465.56
28-MAY-2019,2972,3020.85,2969.3,2992.95,150197289,2781.6
27-MAY-2019,2898.45,2972.55,2887.4,2965.7,88464809,1843.22
24-MAY-2019,2839.45,2910.6,2804.35,2904.3,87403573,1561.42
23-MAY-2019,2904.8,2910.35,2811.15,2822,100656475,1565.35
22-MAY-2019,2852.2,2879.15,2826.4,2864.45,91162224,1550.48
21-MAY-2019,2912.55,2913,2839.2,2854.25,62948602,1077.02
20-MAY-2019,2875,2927.7,2856.65,2899.15,76801082,1315.07
17-MAY-2019,2800.7,2821.7,2779.2,2807.25,69715606,1225.65
16-MAY-2019,2788.2,2819.65,2760.35,2810.85,80146535,1404.41
