Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
22-JUL-2019,275.6,275.85,270.8,273.65,17460970,283.25
19-JUL-2019,282.6,283.45,275.95,277.55,9635401,205.6
18-JUL-2019,285.75,286.15,281.3,281.7,9877810,208.93
17-JUL-2019,285.25,286.75,285,286.05,7960464,170.06
16-JUL-2019,279.9,287.15,279,285.55,11116072,298.11
15-JUL-2019,281.15,282.05,279,280.25,6866300,142.65
12-JUL-2019,278.55,282.55,278.55,280.55,10361993,232.33
11-JUL-2019,277.25,280.35,276.85,279.1,16527676,332.3
10-JUL-2019,279.95,281.45,274.45,275.55,15160557,378.23
09-JUL-2019,271.25,280.55,269.05,279.95,9996522,275.04
08-JUL-2019,280.4,281,271.05,272.25,12223010,285.42
05-JUL-2019,295.35,295.5,281,282.1,22903949,510.04
04-JUL-2019,290,295,289.9,292.55,18413156,461.48
03-JUL-2019,288.2,291,287.55,289.9,13310717,423.29
02-JUL-2019,292.3,292.5,285.5,287.5,17414341,763.77
01-JUL-2019,285.35,293.1,284.75,291.8,13508220,420.32
28-JUN-2019,281.5,286.7,280.4,284.8,19727940,434.95
27-JUN-2019,277.9,284.35,277.65,283.45,34188295,678.97
26-JUN-2019,273.15,278.85,272.2,278.15,17477834,355.66
25-JUN-2019,270.7,274.85,270.35,274.05,10059159,232.16
24-JUN-2019,274.7,274.7,270.8,271.5,13411239,255.58
21-JUN-2019,275.1,276.05,271.35,274.15,22001461,481.01
20-JUN-2019,270.25,276.35,268.4,275.45,19081515,371.46
19-JUN-2019,269,272.85,263.75,270.25,40326133,577.72
18-JUN-2019,267.35,269.25,265.65,267.3,17256638,284.19
17-JUN-2019,270.9,271.05,266.3,267.1,16003274,296.66
14-JUN-2019,275.05,275.45,269.35,270.7,20301192,355.71
13-JUN-2019,273.75,277.25,273,276.5,25047184,424.73
12-JUN-2019,279.1,279.45,274.1,274.75,17191308,298.14
11-JUN-2019,279.95,281,276.85,280.5,16135047,293.3
10-JUN-2019,281.15,282.95,277.75,280.2,15800635,287.87
07-JUN-2019,282.65,285.7,277.45,279.35,44708402,707.46
06-JUN-2019,287.05,287.1,278.15,280.7,36626415,585.77
04-JUN-2019,286.45,291.9,284.4,285.7,22339841,488.7
03-JUN-2019,284.3,287.4,281.55,286.75,15164558,291.14
31-MAY-2019,285.2,286.75,279.2,283.95,19072314,379.44
